user_id,id,title,title_nlp,title_lang,abstract_text,abstract_text_nlp,abstract_text_lang,no_coauthors,publication_type,d_oi,w_os,keywords,keywords_nlp,keywords_lang,authors,authors_nlp,local_keywords,abstract_lang
916,939,"The flow simulation and optimization for the waste processing","flow simulation optimization waste processing",en,"The efficiency of a company's activity can be estimated as referring to permanently updated BAT references. As a general rule, according to this quantifying system, the waste reduction at the enterprise level is a must. In Romania this methodology is poorly known and even less operational. Due to the European environmental legislative system this kind of waste reduction algorithms becomes more and more necessary for an enterprise survival on the market. This paper presents such a methodology, illustrated by a case study. Using a flow simulation, an optimized design for this system is described.","efficiency company s activity be estimate refer permanently updated bat reference general rule accord quantify system waste reduction enterprise level be romania methodology be poorly know even less operational due european environmental legislative system kind waste reduction algorithms become more more necessary enterprise survival market paper present methodology illustrate case study use flow simulation optimized design system be describe",en,4,journal-article,NULL,000246485400018,"monitoring system, modelling and simulation, optimization, environment","monitoring system model simulation optimization environment",en,"George, Dragoi; Stefan, Funar; Mihai, Solea; Costel Emil, Cotet",NULL,"flow simulation,system,waste,kind of waste reduction,methodology,company s activity,updated bat reference,environmental legislative system,enterprise level,enterprise survival,case study,waste processing,general rule,optimized design,reduction,efficiency,enterprise,romania,market,paper,optimization",en
367,2318,"Elaboration of Ti-based Biocompatible Alloys Using Nb, Fe and Zr as Alloying Elements","elaboration ti base biocompatible alloy use nb fe zr alloy element",en,"<jats:p>Increasing biocompatibility of implant materials is an important factor in developing better and long-lasting implants that function in a very close way to real tissue and bone. Various alloys have been chosen due to their biocompatibility, such as: stainless steels, titanium alloys and nickel or cobalt alloys. According to the alloying elements it is possible to change the material properties to fit into various application niches such as pacemaker devices, stents, biosensors, dental or bone implants and others. Some alloying elements confer higher biocompatibility than others and the commonly used alloys include elements that can be detrimental to human health such as Nickel, Vanadium and Cobalt. Choosing alloying elements such as Nb, Fe and Zr in order to replace the commonly used metals reduces the risks of accumulation of various substances that can damage the human tissues and lead to health complications. The proposed alloys are elaborated in a Five Celes melting furnace under argon atmosphere in order to create a more homogeneous material with lesser defects and inclusions. The cast alloys are then analyzed through modern methods such as SEM, XRD, EDS and their mechanical properties such as hardness and strength and these properties are compared to that of the bone in order to assess mechanical reliability.</jats:p>","jat p increase biocompatibility implant material be important factor develop good long lasting implant function very close way real tissue bone various alloy have be choose due biocompatibility such stainless steel titanium alloy nickel cobalt alloy accord alloy element be possible change material property fit various application niche such pacemaker device stent biosensors dental bone implant others alloy element confer high biocompatibility others commonly used alloy include element be detrimental human health such nickel vanadium cobalt choose alloy element such nb fe zr order replace commonly use metal reduce risk accumulation various substance damage human tissue lead health complication propose alloy be elaborate celes melt furnace argon atmosphere order create more homogeneous material less defect inclusion cast alloy be then analyze modern method such sem xrd ed mechanical property such hardness strength property be compare bone order assess mechanical reliability jat p",en,10,journal-article,10.37358/rc.18.11.6704,000451931500043,"biocompatible, TiNbFeZr, beta-titanium, alloys","biocompatible tinbfezr beta titanium alloy",en,"Cristian, Pantilimon; George, Coman; Catalin, Gradinaru; Claudia, Tarcea; Sorin, Ciuca; Mirela, Sohaciu; Andrei, Berbecaru; Ecaterina, Matei; Andra, Predescu; Cristian, Predescu",NULL,"alloy,element,such as pacemaker,pacemaker,risk of accumulation of various substance,such as pacemaker device stent biosensors,niche such as pacemaker device stent,application niche such as pacemaker device,such as stainless steel titanium alloy,various application niche such as pacemaker,biocompatibility such as stainless steel titanium,method such as sem xrd ed,pacemaker device,stainless steel,steel,close way to real tissue,homogeneous material with less defect,mechanical property such as hardness,health such as nickel vanadium,element such as nb fe,biocompatibility,material,property,device,steel titanium,nb fe,lead to health complication,high biocompatibility than others,biocompatibility of implant material,detrimental to human health,sem xrd,titanium,xrd,bone,order,zr in order,furnace under argon,bone in order,elaboration of ti,long lasting implant,bone various alloy,such as pacemaker device,niche such as pacemaker,tissue,niche,such as stainless steel,fe,cobalt alloy,material property,bone implant,cast alloy,xrd ed,important factor,used alloy,human tissue,modern method,mechanical reliability,biocompatible alloy,such as sem xrd,application,stent,others,ed,pacemaker device stent,stainless steel titanium,implant,health,application niche,nickel,cobalt,biosensors,vanadium,zr,commonly,metal,substance,celes,defect,inclusion,hardness,strength,such as hardness,steel titanium alloy,sem xrd ed",en
367,2320,"Green synthesis, characterization and antimicrobial of silver nanoparticles","green synthesis characterization antimicrobial silver nanoparticles",en,"The aim of this research was to present an eco-friendly method to prepare silver nanoparticles (AgNPs). AgNP was confirmed and characterized by ultraviolet-visible spectroscopy, scanning electron microscopy, fourier transforming infrared, x-ray diffraction and atomic force microscopy. More their antibacterial activity was examined against three bacterial, including the Aspergillus niger, Penicilium corylohilum and Aspergillus ochraceus. The antibacterial activity showed that the inhibition zone increased in proportion to the increase in the amount of solution added to the paper disks. The purpose of the study was to synthesis the AgNPs in order to obtain the best conditions necessary for high antibacterial effectiveness and potential application in water treatment.","aim research be present eco friendly method prepare silver nanoparticles agnps agnp be confirm characterize ultraviolet visible spectroscopy scan electron microscopy fourier transforming infrared x ray diffraction atomic force microscopy more antibacterial activity be examine bacterial include aspergillus niger penicilium corylohilum aspergillus antibacterial activity show inhibition zone increase proportion increase amount solution add paper disk purpose study be synthesis agnps order obtain best condition necessary high antibacterial effectiveness potential application water treatment",en,6,journal-article,,000454986600022,"agnps,activity,aspergillus,microscopy,antibacterial","agnps activity microscopy antibacterial",en,"Dragan, Claudia Ionela; Pantilimon, Cristian; Popa, Elisabeta Elena; Coman, George; Gradinaru, Catalin",NULL,"antibacterial activity,potential application in water treatment,transforming infrared x ray diffraction,antimicrobial of silver nanoparticles,aspergillus niger penicilium corylohilum,x ray,infrared x,ray,amount of solution,agnps in order,atomic force microscopy,green synthesis characterization,ultraviolet visible spectroscopy,high antibacterial effectiveness,electron microscopy,inhibition zone,best condition,nanoparticles,niger,application,microscopy,application in water,infrared x ray,penicilium,water,niger penicilium,aim,research,eco,agnp,transforming,diffraction,proportion,increase,paper,purpose,study,x ray diffraction,transforming infrared x",en
367,2321,"MORPHOLOGICAL ANALYSIS OF MAGNETIC NANOMATERIALS THROUGH COMPARATIVE METHODS","morphological analysis magnetic nanomaterials comparative method",en,"Analysis of particles morphology and structure is one of the most important factors for characterizing a material, powder or substance. Several different methods are available in the scientific environment to study material properties such as Scanning Electron Microscopy (SEM), X-Ray Diffraction (XRD), Energy Dispersive Spectroscopy (EDS), Atomic Force Microscopy (AFM). Powder size classifications vary from macroscopic to micro-submicron and ultimately nanometric particle sizes. In this study, a magnetic powder made of magnetite (Fe3O4) was synthesized through a co-precipitation method [1, 2] and it was analyzed by using XRD, SEM and AFM in order to determine the particle/agglomeration sizes of the powders.","analysis particle morphology structure be most important factor characterize material powder substance several different method be available scientific environment study material property such scan electron microscopy sem x ray diffraction xrd energy dispersive spectroscopy ed atomic force microscopy afm powder size classification vary macroscopic micro submicron ultimately nanometric particle size study magnetic powder make magnetite fe3o4 be synthesize co precipitation method be analyze use xrd sem afm order determine particle agglomeration size powder",en,8,journal-article,,000440890800015,"AFM, magnetite, nanopowder, SEM, XRD, TEM","afm magnetite nanopowder sem xrd tem",en,"Mircea Cristian, Pantilimon; Claudia Ionela, Dragan; Catalin, Gradinaru; Andra Mihaela, Predescu; Mirela, Sohaciu; George, Coman; Ecaterina, Matei; Cristian, Predescu",NULL,"powder,microscopy,analysis of magnetic nanomaterials through comparative method,force microscopy,method,morphological analysis of magnetic nanomaterials,electron microscopy sem x ray,force microscopy afm powder size,atomic force microscopy afm powder,ed atomic force microscopy afm,xrd energy dispersive spectroscopy ed,diffraction xrd energy dispersive spectroscopy,dispersive spectroscopy ed atomic force,afm,force,particle,spectroscopy,analysis of particle morphology,ray diffraction xrd energy,substance several different method,dispersive spectroscopy,sem,xrd,afm in order,x ray diffraction,powder size classification,particle agglomeration size,co precipitation method,atomic force,analysis,force microscopy afm,electron microscopy,spectroscopy ed,xrd sem,important factor,material powder,scientific environment,material property,nanometric particle,magnetic powder,magnetite feo,energy,electron,energy dispersive spectroscopy,ed,atomic force microscopy,size,nanomaterials,afm powder,magnetic nanomaterials,structure,macroscopic,submicron,study,electron microscopy sem",en
367,2323,"IDENTIFYING OF UNCERTAINTY SOURCES: A USEFUL TOOL FOR VALIDATION PROCESS OF HEAVY METALS IN WATERS","identifying uncertainty source useful tool validation process heavy metal water",en,"The aim of this research was to validate an analytical method using flame atomic absorption spectrometry for determination of some heavy metals in water. The method was validated for linearity, accuracy, precision, repeatability, limit of detection, and limit of quantification. The linearity was validated over the concentration ranges of 0.1–5 mg/L with coefficient of correlation higher than 0.99. Limit of detection were found to be between 0.005-0.19 mg/L, while limit of quantitation (LOQ) were found to be between 0.01-0.66 mg/L. This method was precise for determination of metals in sample which were indicated.","aim research be validate analytical method use flame atomic absorption spectrometry determination heavy metal water method be validate linearity accuracy precision repeatability limit detection limit quantification linearity be validate concentration range mg l coefficient correlation high limit detection be find be mg l limit quantitation loq be find be mg l method be precise determination metal sample be indicate",en,5,journal-article,NULL,000405523600020,"linearity, accuracy, precision, repeatability, limit of detection","linearity accuracy precision repeatability limit detection",en,"Claudia Ionela, Dragan; Ecaterina, Matei; Andra Mihaela, Predescu; Cristian, Predescu; George, Coman",NULL,"limit,mg l,metal,heavy metal,limit of detection,heavy metal in water,metal in water,coefficient of correlation high than limit of detection,l with coefficient of correlation high than limit,high than limit,precise for determination of metal in sample,mg l while limit of quantitation loq,validation process of heavy metal in water,tool for validation process of heavy metal,mg l with coefficient of correlation,flame atomic absorption spectrometry for determination,l while limit,useful tool for validation process,linearity accuracy precision repeatability limit,linearity,absorption,repeatability limit of detection,identifying of uncertainty source,determination,water,absorption spectrometry,atomic absorption,detection,method,spectrometry,limit of quantification,correlation high than limit,process of heavy metal,l while limit of quantitation,linearity accuracy,analytical method,correlation,accuracy,tool,tool for validation,quantitation,determination of metal,atomic absorption spectrometry,high than limit of detection,validation,process,precision,mg,coefficient,absorption spectrometry for determination,mg l while limit,aim,research,concentration,loq,coefficient of correlation,precise for determination,linearity accuracy precision,flame atomic absorption",en
367,2333,"Removal of Cr (VI) from aqueous solution using activated charcoal","removal cr vi aqueous solution use activate charcoal",en,"The use of activated charcoal as treatment material for the removal of Cr (VI) from aqueous solution was investigated. Maximum adsorption of Cr (VI) was achieved under acidic pH (pH= 4) after a contact time of approximately 120 minutes. The activated charcoal was treated in order to vary the pH from acid to base so that its influence on the removal of the metal ions could be investigated. In order to study possible structural changes of the treatment material (activated charcoal), scanning electron microscopy (SEM) and UV-VIS molecular adsorption spectrometer, before and after adsorption of Cr (VI) was investigated in detail to validate the adsorption of the heavy metal. Detailed investigation included the effects of initial concentration, adsorbent dose, contact time, pH of solution for the adsorption process and the evaluation of optimum conditions required for a high yield of Cr (VI) removal. The Langmuir adsorption isotherm model was applied to analyse the adsorption data. The results show that activated charcoal was found effective for the removal of Cr (VI) from aqueous solutions. The purpose of the study was to determine the capabilities for Cr (VI) removal of the activated charcoal and the influence that pH values have over the treatment efficiency in order to obtain the best conditions necessary for water treatment.","use activated charcoal treatment material removal cr vi aqueous solution be investigate maximum adsorption cr vi be achieve acidic ph ph contact time approximately minute activated charcoal be treat order vary ph acid base so influence removal metal ion be investigate order study possible structural change treatment material activate charcoal scan electron microscopy sem uv vi molecular adsorption spectrometer adsorption cr vi be investigate detail validate adsorption heavy metal detailed investigation include effect initial concentration adsorbent dose contact time ph solution adsorption process evaluation optimum condition require high yield cr vi removal langmuir adsorption isotherm model be apply analyse adsorption data result show activate charcoal be find effective removal cr vi aqueous solution purpose study be determine capability cr vi removal activated charcoal influence ph value have treatment efficiency order obtain best condition necessary water treatment",en,6,journal-article,NULL,NULL,influence;solution;contact;metal;conditions;aqueous;study;material;time;investigated;order;treatment;removal;ph;charcoal;activated;vi;cr;adsorption,"influence solution contact metal condition aqueous study material time investigated order treatment removal ph charcoal activate vi cr adsorption",en,"Claudia, Dragan; Cristian, Pantilimon; Andra, Predescu; George, Coman; Ecaterina, Matei; Cristian, Predescu",NULL,"removal of cr vi from aqueous solution,vi,adsorption,charcoal,activated charcoal,ph,removal,cr,treatment,solution,cr vi,use of activated charcoal as treatment material,best condition necessary for water treatment,charcoal as treatment,necessary for water,adsorption of cr,capability for cr vi removal,maximum adsorption of cr vi,contact time ph of solution,high yield of cr vi,effect of initial concentration adsorbent,uv vi molecular adsorption spectrometer,material,aqueous solution,contact time,adsorption of cr vi,treatment efficiency in order,evaluation of optimum condition,langmuir adsorption isotherm model,heavy metal detailed investigation,molecular adsorption,time,condition,water,order,influence,ph from acid,electron microscopy sem,possible structural change,ph ph,metal ion,treatment material,adsorption spectrometer,adsorption process,ph value,water treatment,activated charcoal as treatment,condition necessary for water,metal,spectrometer,concentration,yield,yield of cr,vi molecular adsorption,isotherm,charcoal as treatment material,necessary for water treatment,use of activated charcoal,time ph,adsorption isotherm,initial concentration,use,minute,detail,investigation,adsorbent,result,purpose,study,capability,capability for cr,molecular adsorption spectrometer",en
69156,3546,"Cohesion-Centered Analysis of Sociograms for Online Communities and Courses Using ReaderBench","cohesion center analysis sociograms online community course use readerbench",en,"Computer Supported Collaborative Learning (CSCL) environments facilitated by technology have become a viable learning alternative from which valuable data can be extracted and used for advanced analyses centered on evaluating participants involvement and their interactions. Such automated assessments are implemented within the ReaderBench framework, a Natural Language Processing platform that contains multiple advanced text analysis functionalities. The ReaderBench framework is based on Cohesion Network Analysis from which different sociograms, relying on semantic similarity, are generated in order to reflect interactions between participants. In this paper, we briefly describe the enforced mechanisms used to compare two Math communities, namely an online knowledge building community and an online course.","computer support collaborative learning cscl environment facilitate technology have become viable learn alternative valuable data be extract use advanced analysis center evaluate participant involvement interaction such automated assessment be implement readerbench framework natural language processing platform contain multiple advanced text analysis functionalities readerbench framework be base cohesion network analysis different sociograms rely semantic similarity be generate order reflect interaction participant paper briefly describe enforced mechanism use compare math community namely online knowledge building community online course",en,6,proceedings-article,10.1007/978-3-319-98572-5_59,000552686200059,"Cohesion Network Analysis, Sociograms, Text cohesion, Natural Language Processing, ReaderBench framework","cohesion network analysis sociograms text cohesion natural language processing readerbench framework",en,"Mihai, Dascalu; Maria-Dorinela, Sirbu; Gabriel, Gutu-Robu; Stefan, Ruseti; Scott A., Crossley; Stefan, Trausan-Matu",NULL,"analysis,readerbench framework,community,analysis of sociograms for online community,online knowledge building community,collaborative learning cscl environment,natural language processing platform,multiple advanced text analysis,interaction such automated assessment,interaction between participant,cohesion network analysis,participant involvement,math community,valuable data,different sociograms,semantic similarity,enforced mechanism,online course,cohesion,sociograms,learning,language,text,cscl,processing,learning cscl,language processing,advanced text,computer,technology,alternative,participant,interaction,assessment,readerbench,order,paper,online,knowledge,course",en
802,4028,"e-Learning Today","e learn today",en,"Higher education in the technical area has special features and requirements, more difficult to fulfill in a classical long. distance education system: development of laboratory related skills, integrated project design work, interactive seminars oriented towards problem based learning. The students studying for an engineering degree in the University POLITEHNICA of Bucharest benefit from the presence of two learning management systems: an open source application (Moodle), a software package for producing Internet-based courses and web sites and a proprietary portal (AeL LCMS), an innovative and integrated e. Learning solution, supporting most of the education processes: teaching. learning, testing and evaluation, content management, managing and monitoring of the entire educational process. Undergraduate and postgraduate students having access to these facilities were interviewed in connection to their usage of electronic resources deposited in the two LMS, as well as other ICT instruments they might employ for their on. line and off. line learning activities.","high education technical area have special feature requirement more difficult fulfill classical long distance education system development laboratory relate skill integrate project design work interactive seminar orient towards problem base learn student study engineering degree university politehnica bucharest benefit presence learning management system open source application moodle software package produce internet base course web site proprietary portal ael lcms innovative integrated e learn solution support most education process teach learn test evaluation content management managing monitoring entire educational process undergraduate postgraduate student have access facility be interview connection usage electronic resource deposit lm as well other ict instrument employ line line learning activity",en,7,proceedings-article,10.3303/CET1021177,000286978600177,based;line;students;integrated;management;education;learning,"base line student integrated management education learn",en,"Ana Maria, Josceanu; Anca Madalina, Dumitrescu; Tiberiu, Danciu; Raluca, Isopescu; Paula, Postelnicescu; Valentin, Plesu; Catalin, Stefan",NULL,"education,distance education system development of laboratory,distance education,distance,university politehnica of bucharest benefit,long distance education system development,project design work interactive seminar,classical long distance education system,system,long distance,usage of electronic resource,evaluation content management managing,entire educational process undergraduate,line learning activity,learning management system,open source application,proprietary portal ael,other ict instrument,management,distance education system,towards problem,engineering degree,software package,postgraduate student,high education,technical area,special feature,interactive seminar,integrated e,seminar,line,long distance education,process,development,system development,educational process,requirement,skill,project,design,work,student,benefit,presence,internet,course,site,solution,evaluation,content,monitoring,undergraduate,access,facility,connection,lm,today,work interactive seminar,classical long distance",en
802,4039,"e -Teaching Today","e teach today",en,"Given these realities, the Centre for Technology Transfer in the Process Industries from the University POLITEHNICA of Bucharest together with SIVECO SA and the University POLITEHNICA of Timisoara built a project intended to form and develop the competences of the chemistry teaching staff for using interactive teaching methods. The project aims to introduce ICT tools in the teaching staff professional development and enhance its knowledge in the domain of information and communication technologies through innovative training instruments (e-learning methods). It also creates a collaborative virtual network between the chemistry teachers involved in the project.","give reality centre technology transfer process industry university politehnica bucharest together siveco sa university politehnica timisoara build project intend form develop competence chemistry teach staff use interactive teaching method project aim introduce ict tool teaching staff professional development enhance knowledge domain information communication technology innovative training instrument e learn method also create collaborative virtual network chemistry teacher involve project",en,6,proceedings-article,10.3303/CET1125078,000298027000078,university;methods;politehnica;chemistry;staff;project;teaching,"university method politehnica chemistry staff project teach",en,"Ana Maria, Josceanu; Anca Madalina, Dumitrescu; Raluca, Isopescu; Tiberiu Dinu, Danciu; Paula, Postelnicescu; Valentin, Plesu",NULL,"project,communication technology through innovative training instrument,centre for technology transfer,university politehnica of timisoara,teaching staff professional development,innovative training,technology,training,domain of information,interactive teaching method,collaborative virtual network,staff,process industry,university politehnica,training instrument,chemistry teacher,siveco sa,ict tool,technology through innovative training,method,instrument,reality,university,politehnica,competence,chemistry,development,knowledge,communication,today,innovative training instrument",en
802,4891,"EFFECT OF THE ASSOCIATION AND SOLVATION PARAMETERS ON THE CALCULATION OF THE 2ND VIRIAL-COEFFICIENT","effect association solvation parameter calculation virial coefficient",en,NULL,none,NULL,3,journal-article,NULL,A1988N495200001,NULL,none,NULL,"Ortansa, LANDAUER; Tiberiu, DANCIU; Dan, GEANA",NULL,NULL,NULL
