ID,Name,keywords YAKE,keywords LDA
829,DATCU Mihai,SYNTHETIC APERTURE RADAR; RESOLUTION SAR IMAGES; SAR IMAGES; IMAGE INFORMATION MINING; EARTH OBSERVATION DATA; SAR DATA; SAR IMAGE CLASSIFICATION; APERTURE RADAR SAR; SATELLITE IMAGE TIME; IMAGE TIME SERIES; REMOTE SENSING IMAGE; SAR; SENSING IMAGE DATA; DATA; IMAGE,SAR IMAGE; SYNTHETIC APERTURE RADAR SAR; SATELLITE IMAGE; EARTH OBSERVATION; REMOTE SENSING; IMAGE CONTENT; TERRASAR X; LAND COVER; FEATURE EXTRACTION; IMAGE PATCH; URBAN AREA; IMAGE CLASSIFICATION; STATE ART; INFORMATION EXTRACTION; EO IMAGE
1672,GRUMEZESCU Alexandru Mihai,DRUG DELIVERY SYSTEMS; SCANNING ELECTRON MICROSCOPY; NANOPARTICLES; BIOMEDICAL APPLICATIONS; FOOD; BIOFILM DEVELOPMENT; ANTIMICROBIAL ACTIVITY; FOOD INDUSTRY; PULSED LASER EVAPORATION; ASSISTED PULSED LASER; MATERIALS; FUNCTIONALIZED MAGNETITE NANOPARTICLES; DRUG; LASER SCANNING MICROSCOPY; DELIVERY,DRUG DELIVERY; BIOMEDICAL APPLICATION; DRUG DELIVERY SYSTEM; TISSUE ENGINEERING; WOUND DRESSING; ESSENTIAL OIL; MAGNETITE NANOPARTICLE; CANCER THERAPY; THIN FILM; MEDICAL DEVICE; FOOD INDUSTRY; SILVER NANOPARTICLE; MAGNETIC NANOPARTICLE; BIOFILM DEVELOPMENT; ELECTRON MICROSCOPY
841,ANDRONESCU Ecaterina,SCANNING ELECTRON MICROSCOPY; RAY DIFFRACTION; COMPOSITE MATERIALS; MATERIALS; SEM; XRD; DRUG DELIVERY SYSTEMS; PROPERTIES; DIELECTRIC PROPERTIES; IRON OXIDE NANOPARTICLES; BMT CERAMIC MATERIAL; TRANSMISSION ELECTRON; MICROSCOPY; METHOD; ELECTRON,COMPOSITE MATERIAL; X RAY DIFFRACTION XRD; MESOPOROUS SILICA; DRUG DELIVERY; ANTIMICROBIAL ACTIVITY; TRANSMISSION ELECTRON MICROSCOPY TEM; THIN FILM; DRUG DELIVERY SYSTEM; IRON OXIDE NANOPARTICLE; IRON OXIDE; POINT VIEW; THERMAL TREATMENT; BIOMEDICAL APPLICATION; MAGNETITE NANOPARTICLE; MEDICAL APPLICATION
1284,TRAUSAN-MATU STEFAN,NATURAL LANGUAGE PROCESSING; SUPPORTED COLLABORATIVE LEARNING; COMPUTER SUPPORTED COLLABORATIVE; LANGUAGE PROCESSING TECHNIQUES; LATENT SEMANTIC ANALYSIS; COHESION NETWORK ANALYSIS; ADVANCED NATURAL LANGUAGE; LEARNING; ANALYSIS; LANGUAGE; LEARNING CHAT CONVERSATIONS; COLLABORATIVE LEARNING TOOLS; LEARNING ENVIRONMENT; MACHINE LEARNING SYSTEM; LEARNING MANAGEMENT SYSTEMS,COMPUTER SUPPORTED COLLABORATIVE LEARNING; E LEARNING; NATURAL LANGUAGE PROCESSING; CHAT CONVERSATION; SOCIAL NETWORK; NATURAL LANGUAGE; READERBENCH FRAMEWORK; ARTIFICIAL INTELLIGENCE; LEARNING ENVIRONMENT; NATURAL LANGUAGE PROCESSING TECHNIQUE; LEARNING PROCESS; POLYPHONIC MODEL; NATURAL LANGUAGE PROCESSING NLP; WEB PAGE; TEXTUAL COMPLEXITY INDEX
1225,VOICU Gheorghe,PROCESS; PRODUCT DEVELOPMENT PROCESS; ENERGY; ENERGY CONSUMPTION; MATERIAL; WORKING PROCESS; EQUIPMENT; SOIL; PRODUCTS; MECHANICAL PROPERTIES; METHODOLOGIES AND EQUIPMENT; BIOMASS; PROPERTIES; SYSTEM; ANALYSIS,MATHEMATICAL MODEL; ENERGY CONSUMPTION; TECHNIQUE METHODOLOGIES EQUIPMENT; RENEWABLE ENERGY; HAMMER MILL; MECHANICAL PROPERTY; WORKING PROCESS; ENERGETIC PLANT; TECHNOLOGICAL PROCESS; MOISTURE CONTENT; WHEAT FLOUR; RAW MATERIAL; POINT VIEW; PHYSICAL CHARACTERISTIC; CLEANING SYSTEM
1849,FICAI Anton,SCANNING ELECTRON MICROSCOPY; DRUG DELIVERY SYSTEMS; COMPOSITE MATERIAL PROPERTIES; TRANSFORM INFRARED SPECTROSCOPY; MATERIALS; PROPERTIES; SEM; COMPOSITES; COLLAGEN; DRUG; ANTIMICROBIAL ACTIVITY; MICROSCOPY; DESIGNED COMPOSITE MATERIALS; DELIVERY; POLYMER,DRUG DELIVERY SYSTEM; ANTIMICROBIAL ACTIVITY; ELECTRON MICROSCOPY SEM; TISSUE ENGINEERING; DRUG DELIVERY; COMPOSITE MATERIAL; STAPHYLOCOCCUS AUREUS; RAW MATERIAL; MEDICAL DEVICE; PORE SIZE; ANTIBACTERIAL ACTIVITY; MECHANICAL PROPERTY; ZNO NANOPARTICLE; MESOPOROUS SILICA; WOUND HEALING
534,DOBRE Ciprian Mihai,DISTRIBUTED SYSTEMS; MOBILE CLOUD COMPUTING; DATA; CLOUD COMPUTING SYSTEMS; MOBILE BIG DATA; OPPORTUNISTIC NETWORKS; MOBILE DEVICES; NETWORK MANAGEMENT SERVICES; BIG DATA PROCESSING; MOBILE SOCIAL NETWORKS; NETWORK; SYSTEMS; SERVICES; MOBILE OPPORTUNISTIC CLOUD; MOBILE,MOBILE DEVICE; OPPORTUNISTIC NETWORK; LARGE SYSTEM; CLOUD COMPUTING; FAULT TOLERANCE; BIG DATA; SINGLE SALE ACCOUNT MANAGEMENT; INFORMATION PRODUCT SERVICE NOTE; END USER; SCHEDULING ALGORITHM; THANK REVIEWER PROFIT WORLD; HUMANITY RIGHT USE WEB; LARGE TECHNICAL PROFESSIONAL TECHNOLOGY; CROSS SECTION; SITE AGREEMENT
733,SEMENESCU Augustin,FINITE ELEMENT ANALYSIS; WELDING PROCESS; SUSTAINABLE DEVELOPMENT; ELECTRIC ARC FURNACE; PROCESS; ANALYSIS; EAF MANAGEMENT SYSTEM; METALLIC MATERIALS INDUSTRY; WELDING; SYSTEM GTAW WELDING; ENVIRONMENTAL PERFORMANCE INDICATORS; SPECIFIC ANALYSIS MODELS; MATERIAL; SYSTEM; POLLUTING TECHNOLOGY PROCESS,SUSTAINABLE DEVELOPMENT; TECHNOLOGICAL PROCESS; MATHEMATICAL MODEL; CHEMICAL COMPOSITION; HEAT TREATMENT; MECHANICAL PROPERTY; STAINLESS STEEL; WELDING PROCESS; COMPOSITE MATERIAL; ELECTRIC ARC FURNACE; VARIABLE LOAD; METALLURGICAL INDUSTRY; CIRCULAR ECONOMY; TEST PIECE; ROBOTIC SYSTEM
69354,VLAD MAGDALENA,JOINT EUROPEAN TORUS; JET ITER; JET; JET PLASMAS; JET NEUTRON SPECTROMETERS; SCANNING ELECTRON MICROSCOPY; WALL PLASMA POWER; SXR CAMERA SYSTEM; NEUTRON SPECTROSCOPY MEASUREMENTS; ELM ENERGY FLUENCE; ITER; JET TOKAMAK FUSION; SXR EMISSIVITY MAPS; FAST ION PHYSICS; ILA,FAST ION; JOINT EUROPEAN TORUS; H MODE; ENERGY RESOLUTION; MEV NEUTRON; JET ITER LIKE WALL; MAGNETIC FIELD; POLOIDAL ASYMMETRY; NEUTRON SPECTROMETER; JOINT EUROPEAN TORUS JET; CARBON WALL; CHAMBER WALL; DEUTERIUM TRITIUM; GAMMA RAY; CHARGE EXCHANGE
562,POP Florin,CLOUD COMPUTING; BIG DATA PROCESSING; BIG DATA; CLOUD SYSTEMS; DATA; CLOUD; SERVICE LEVEL AGREEMENT; CLOUD SERVICE PROVIDERS; DATA PROCESSING SYSTEMS; DISTRIBUTED SYSTEMS RESOURCES; GRID SCHEDULING ALGORITHMS; COMPUTING DISTRIBUTED SYSTEMS; IDENTIFICATION SYSTEM DATA; SYSTEM; BIG DATA ENVIRONMENTS,SCHEDULING ALGORITHM; CLOUD COMPUTING; BIG DATA; RESOURCE MANAGEMENT; CLOUD SYSTEM; SMART CITY; TIME SERIES; LARGE SYSTEM; GENETIC ALGORITHM; WEB SERVICE; COMPLEX SYSTEM; SMART ENVIRONMENT; CLOUD SERVICE; FAULT TOLERANCE; SCHEDULING MODEL
1541,UNGUREANU Nicoleta,FINITE ELEMENT METHOD; SOIL; AGRICULTURAL SOIL; SOIL COMPACTION SOIL; ELEMENT ANALYSIS FINITE; ANALYSIS FINITE ELEMENT; SOIL PROCESSING; WASTEWATER; INCREASE AGRICULTURAL PRODUCTION; WASTEWATER TREATMENT; ARTIFICIAL SOIL COMPACTION; SOIL CONTACT SURFACE; SOIL TILLAGE; HEAVY AGRICULTURAL MACHINERY; WATER,AGRICULTURAL SOIL; WASTEWATER TREATMENT; MATHEMATICAL MODEL; HEAVY METAL; TECHNIQUE METHODOLOGIES EQUIPMENT; SUNFLOWER SEED; ACTIVE BODY; GRAPE SEED; FINITE ELEMENT; FINITE ELEMENT METHOD; TOOL SOIL; BIOLOGICAL CONTACTOR; FEM MODEL; ORGANIC WASTE; DEPTH SOIL
